drugs,target_pdb_id,targets,drug_smiles
r2_gen_302120,,,C=C1N=C(N(C)S(C)(=O)=O)N1c1ncccc1CNc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F
r2_gen_195932,,,C=C1S[C@@](CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)(C(C)=O)C1=O
r2_gen_272724,,,C=C1SC(C(=O)c2ccc(N(C)S(C)(=O)=O)cc2CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)=C1C
r2_gen_199063,3BZ3,FAK,C=C1SC(Nc2ccncc2CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)=C1C
r2_gen_249936,,,C=C1SN(c2nc(C)ccc2CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)C(C)=CC1(C)C
r2_gen_90194,3BZ3,FAK,C=C(Br)C(=O)N(c1nc(C)ccc1CNc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F)S(C)(=O)=O
r2_gen_275110,3BZ3,FAK,C#Cc1cc([1O])c(S)c(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)c1
r2_gen_295321,,,CCC1C=CC1Nc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F
r2_gen_247403,3BZ3,FAK,C=C(c1ccccc1CNc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F)[SH](C)F
r2_gen_133707,,,CCc1ccccc1COCNc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F
r2_gen_210943,,,C#Cc1ccccc1CSSSNc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F
r2_gen_261749,3BZ3,FAK,CCc1ccccc1Nc1nc(C)ccc1CNc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F
r2_gen_152831,,,CCc1c(C)cccc1CCNc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F
r2_gen_278557,3BZ3,FAK,C=C(c1c(C)cccc1CNc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F)N(C)S(C)(=O)=O
r2_gen_57465,,,C=C(c1cccc(C)c1CNc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F)S(C)(=O)=O
r2_gen_96499,,,C=C(c1cccc(C)c1C)N(C)c1ccccc1CNc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F
r2_gen_31006,,,C=C(c1cccc(C)c1Nc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F)S(C)(=O)=O
r2_gen_97950,3BZ3,FAK,C=C(c1ccc(C)c(C)c1)c1ccccc1CNc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F
r2_gen_93903,3BZ3,FAK,C#Cc1cc(C)c(C)cc1CNc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F
r2_gen_49946,,,CCc1cc(C)c(C)cc1CNc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F
r2_gen_290445,,,C=Cc1ccc(C)c(C)c1Nc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F
r2_gen_184826,,,C#Cc1c(CC)cccc1Nc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F
r2_gen_285410,,,CCc1c(C)c(C)cc(C)c1Nc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F
r2_gen_304148,3BZ3,FAK,CCc1ccc(C(C)C(C)(C)OCNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)cc1
r2_gen_251206,,,CCc1ccc(C(C)C)nc1CNc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F
r2_gen_84857,3BZ3,FAK,C#Cc1ccc(C)c(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)c1N(C)S(C)(=O)=O
r2_gen_14301,,,CCc1c(C)ccc(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)c1N(C)S(C)(=O)=O
r2_gen_212636,,,C=Cc1ccc(CC(=C)Nc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)cc1
r2_gen_217364,3BZ3,FAK,C#Cc1c(C)cc(C)c(N(C)S(C)(=O)=O)c1CNc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F
r2_gen_158881,,,CCc1c(C)cc(C(F)F)cc1CNc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F
r2_gen_150438,3BZ3,FAK,C=C(c1ccc(C)c(N)c1CNc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F)S(C)(=O)=O
r2_gen_283769,3BZ3,FAK,C#Cc1cccc(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)c1C
r2_gen_273514,,,C#Cc1cccc(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)c1N(C)S(=C)(=O)C(F)F
r2_gen_14263,3BZ3,FAK,C#Cc1cccc(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)c1N(C)S(C)(=O)=O
r2_gen_215991,3BZ3,FAK,CCc1cccc(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)c1N=S
r2_gen_140291,,,CCc1c(C)cc(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)cc1F
r2_gen_257480,3BZ3,FAK,CCc1cc(C)c(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)cc1NC
r2_gen_167729,,,C#Cc1cc(C)c(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)cc1S(C)(=O)=O
r2_gen_269911,,,C#Cc1cc(C)c(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)c(N(C)S(C)(=O)=O)c1
r2_gen_21034,,,C#Cc1cccc(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)n1
r2_gen_160090,,,C=Cc1ccc(C)c(Nc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)n1
r2_gen_8301,,,C#Cc1ccc(C)c(Nc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)n1
r2_gen_46604,3BZ3,FAK,C#Cc1ccc(C)c(N(C)S(C)(=O)=O)c1CNc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F
r2_gen_91556,3BZ3,FAK,C#Cc1ccc(C)c(NS)c1CNc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F
r2_gen_230980,3BZ3,FAK,CCc1ccc(C)c(NS)c1CNc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F
r2_gen_173023,,,C#Cc1cccc(Nc2ccc(C)cc2)c1CNc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F
r2_gen_128590,3BZ3,FAK,C#Cc1cccc(Nc2c(C)cccc2CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)c1
r2_gen_223574,,,C#Cc1cccc(Nc2cc(C)ccc2CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)n1
r2_gen_117366,3BZ3,FAK,C#Cc1cccc(Nc2ccc(C)cc(=O)c2)c1CNc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F
r2_gen_31970,,,C#Cc1ccc(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)cc1N(C)S(C)(=O)=O
r2_gen_74736,,,C#Cc1ccc(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)ccc1=O
r2_gen_134524,3BZ3,FAK,C#Cc1ccc(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)c(C(C)O)c1
r2_gen_67151,,,CCc1ccc(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)c(NC)c1
r2_gen_155859,,,CCc1ccc(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)c(N(C(C)=O)S(C)(=O)=O)c1
r2_gen_151342,,,CCc1ccc(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)c(N(C)S(C)=O)n1
r2_gen_23615,,,C=Cc1ccc(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)c(N(C)S(C)(=O)=O)c1
r2_gen_23279,,,C#Cc1ccc(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)c(N(C)S(C)(=O)=O)c1
r2_gen_110016,,,C#Cc1ccc(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)c(N(C)S(C)(=O)=O)c(=O)n1
r2_gen_72372,,,CCc1ccc(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)c(N(C)[SH](C)(=O)S)n1
r2_gen_182712,,,CCc1ccc(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)c(NS)c1
r2_gen_1107,,,CCc1ccc(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)c(NS(C)(=O)=O)c1
r2_gen_6189,3BZ3,FAK,CCc1ccc(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)c(N(S(C)(=O)=O)S(C)(=O)=O)c1
r2_gen_239302,3BZ3,FAK,C#Cc1ccc(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)c(O)c1C
r2_gen_255084,,,C=C(c1ccc(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)s1)S(C)(=O)=O
r2_gen_136426,,,CC=C1C=CC=C(N(C)C(F)F)C(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)=C1
r2_gen_200198,,,CCc1cc(C)c(N)c(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)c1NS(C)(=O)=O
r2_gen_11484,,,C#Cc1cccc(N(C)S(C)(=O)=O)c1Nc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F
r2_gen_160864,3BZ3,FAK,C#Cc1cc(C)c(N(C)S(C)(=O)=O)cc1CNc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F
r2_gen_45423,,,CCc1c(C)cc(N(C)S(C)(=O)=O)nc1CNc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F
r2_gen_202793,,,CCc1cccc(NNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)c1N(C)S(C)(=O)=O
r2_gen_32133,3BZ3,FAK,CCc1cccc(N=S)c1CNc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F
r2_gen_227831,3BZ3,FAK,C#Cc1cccc(N[SH](C)(C)=O)c1CNc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F
r2_gen_192574,3BZ3,FAK,C#Cc1cccc(NS(=O)(=O)C[S+](C)=O)c1CNc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F
r2_gen_129364,3BZ3,FAK,C#Cc1c(C)cc(O)cc1CNc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F
r2_gen_303186,3BZ3,FAK,CCc1c(C)cc(O)cc1CNc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F
r2_gen_256642,,,C#Cc1cc(C)c(O)c(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)c1
r2_gen_76734,,,C=Cc1cccc(OCNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)c1
r2_gen_113599,3BZ3,FAK,CCc1cccc(OCNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)c1N(C)S(C)(=O)=O
r2_gen_228206,,,C=C(c1cccc(OCNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)c1)S(C)(=O)=O
r2_gen_229575,,,CCc1c[c-]cc(S)c1CNc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F
r2_gen_9190,3BZ3,FAK,C#Cc1cc(C)c(S(C)(=O)=O)cc1CNc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F
r2_gen_101057,,,CCc1c(C)cc(S(C)(=O)=O)cc1Nc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F
r2_gen_68934,,,CCc1cc(C(F)F)ccc1CNc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F
r2_gen_99401,,,CCc1cc(C(F)F)cc(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)c1N(C)S(C)(=O)=O
r2_gen_220093,3BZ3,FAK,CCc1ccc(Nc2c(C)cccc2CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)cc1
r2_gen_181926,,,CCc1cc(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)c(C)cc1[115I]
r2_gen_149489,,,CCc1cc(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)c(C)cc1C
r2_gen_90328,3BZ3,FAK,C#Cc1cc(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)c(N(C)S(C)(=O)=O)cc1C
r2_gen_119473,3BZ3,FAK,C=C(c1cc(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)c(N(C)S(C)(=O)=O)cc1C)S(C)(=O)=O
r2_gen_255284,,,C=C(c1cc(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)c(N(C)S(C)(=O)=O)cn1)S(C)(=O)=O
r2_gen_214736,,,CCc1cc(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)c(S(C)(=O)=O)cc1C
r2_gen_40105,,,CCc1cc(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)ncn1
r2_gen_80184,3BZ3,FAK,CCc1cc(C)nc(N(C)S(C)(=O)=O)c1OCNc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F
r2_gen_46904,3BZ3,FAK,C#Cc1ccc(N(C)S(C)(=O)=O)c(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)c1
r2_gen_223739,3BZ3,FAK,C=Cc1ccc(N(C)S(C)(=O)=O)c(OCNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)c1
r2_gen_164590,,,C=C(c1cc(C)[nH]c1CNc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F)S(C)(=O)=O
r2_gen_251971,3BZ3,FAK,C=C(c1ccc(OC)cc1CNc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F)S(C)(=O)=O
r2_gen_65707,,,C=C(c1ccc(S(=O)(=O)CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)cc1)S(C)(=O)=O
r2_gen_276792,,,C=Cc1cc(Nc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)c(C)cc1C
r2_gen_125389,3BZ3,FAK,CCc1c(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)cccc1NC
r2_gen_13555,,,C#Cc1c(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)cccc1N(C)S(C)(=O)=O
r2_gen_290209,3BZ3,FAK,C#Cc1c(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)ccc(C)c1N(C)S(C)(=O)=O
r2_gen_41018,3BZ3,FAK,CCc1c(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)ccc(C)c1N(C)S(C)(=O)=O
r2_gen_181553,3BZ3,FAK,CCc1c(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)ccc(C)c1O
r2_gen_68669,,,CCc1cc(Nc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)c(C(C)(C)F)cc1C
r2_gen_78040,3BZ3,FAK,CCc1c(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)cc(C)c(N(C)S(C)(=O)=O)c1C
r2_gen_198808,3BZ3,FAK,C#Cc1c(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)ccc(N(C)S(C)(=O)=O)c1C
r2_gen_124806,,,C#Cc1c(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)cc(N)c(C)c1C
r2_gen_119169,,,CCc1c(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)sc(C)c1C
r2_gen_81559,,,CCc1c(C)ncc(C)c1Nc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F
r2_gen_84510,,,C#Cc1cc(N)cc(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)n1
r2_gen_208445,,,C#Cc1cc(N(C)F)cnc1CNc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F
r2_gen_21007,,,CCc1cc(N(C(F)F)S(C)(=O)=O)ccc1CNc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F
r2_gen_179939,3BZ3,FAK,C#Cc1ccnc(NS(C)(=O)=O)c1Nc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F
r2_gen_149688,,,CCc1cc(N(C)O)c(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)cc1C
r2_gen_21801,,,CCc1ccnc(SCNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)c1
r2_gen_302328,3BZ3,FAK,CCc1cc(N(C)S(C)(=O)=O)cc(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)c1C
r2_gen_45800,3BZ3,FAK,C#Cc1cc(N(C)S(C)(=O)=O)c(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)cc1C
r2_gen_7569,3BZ3,FAK,CCc1cc(N(C)S(C)(=O)=O)c(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)cc1C
r2_gen_291052,,,CCc1cc(N(C)S(C)(=O)=O)c(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)cc1N(C(F)F)S(C)(=O)=O
r2_gen_69364,,,CCc1cc(N(C)[SH](C)(C)=O)ccc1CNc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F
r2_gen_75366,3BZ3,FAK,CC=C1C=COC(C)=C1CNc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F
r2_gen_233652,,,CCC1=CC(=O)C=CC1=C(Nc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F)c1nccnc1N(C)S(C)(=O)=O
r2_gen_145739,3BZ3,FAK,C=C(c1cc(OCNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)ccc1C)S(C)=O
r2_gen_82064,3BZ3,FAK,CCc1ccsc1CNc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F
r2_gen_288327,,,CCc1cc(S(C)(F)F)ccc1CNc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F
r2_gen_225900,3BZ3,FAK,CCc1cc(S(C)(=O)=O)c(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)cc1C
r2_gen_2060,,,CCc1cnccc1CNc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F
r2_gen_232969,3BZ3,FAK,C#Cc1cnc(C)c(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)n1
r2_gen_67971,,,C#Cc1cnc(C)c(Nc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)c1
r2_gen_133020,,,CCc1cnc(CCNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)c(C)n1
